KID,Name,Quality,Redshift,INC,Re,Re_err,Mag_H,sigma,sigma_err,Ve,Ve_err,Vopt,Vopt_err,Vout,Vout_err,Mstar,Mstar_err,Mgas,Mgas_err,MH2,MH2_err,MHI,MHI_err,Rot_Disp_ratio_int
171,C-zcos_z1_925,1,0.912870404082449,45.5946815161345,3.7296395,1.118892,-22.49,21.690529369148,3.6147854406029,165.671002397875,58.6335046975833,156.788352658785,13.3950402324696,157.337017710788,11.2279199521488,15171554725.0488,6991499873.29438,70246928230.4756,98172783802.74655,4416134201.28053,5335737087.30703,49496837615.9362,98027676649.58684,7.23477040736529
177,E-zmus_z1_107,2,0.96169364551841,27.8617791652652,1.4222546,0.4266764,-21.13,25.8159019295606,3.30412481080686,83.9269064206964,27.6970282886135,82.6293805552193,23.6836332914096,80.8493196616137,15.849688781906,4335406612.9685,1997883231.78272,78079706519.3832,67418988688.53012,2035174090.03879,1463679449.5946155,57176340172.4394,67403098432.14173,2.56749147618753
181,E-zmus_z1_117,2,0.841633641987028,34.5254621532204,2.9573355,0.8872007,-22.52,24.2298942213367,3.56075059283914,84.2069692715106,74.0094935273123,69.1672196839571,45.9977701552599,87.9542542187202,56.6012342763709,15596615395.3587,7187380366.52475,49717452278.2458,109208800154.80125,2836718083.33921,5355365867.416506,35248672326.9974,109077413279.18181,3.59283941128257
183,E-zmus_z1_119,1,0.841298299434541,61.7587201033233,4.19094,1.257282,-23.13,62.7836230325721,3.58888195552252,239.94058751764,84.2821031036342,236.237749513282,21.1524428280576,200.666925508988,17.2374396641298,27354567188.459,12605791331.0871,53774656277.7492,125774222241.27309,4655940037.96431,9645035292.600237,36931365593.8232,125403860684.59636,2.74418373331782
184,E-zmus_z1_12,1,0.976393156660594,51.4432118877108,3.91059,1.173177,-24.03,88.8467624693463,4.92122522416893,340.183044125284,113.591265707883,338.72434597477,27.3806976243473,339.414805936876,6.07923877915817,62665781971.1296,28878240539.6911,54397719763.1167,123963921965.92108,10258001252.8931,22970683946.93924,33187758278.3635,121817082661.59882,3.31228726653415
186,E-zmus_z1_122,2,0.996927381685542,45.4990365430458,4.9662123,1.4898638,-23.51,50.4186027323878,2.66324283093687,179.070318255146,9.33414894973158,157.726439068934,8.24930010124415,130.034524398495,8.91915650865902,38817742711.5098,17888360696.5483,42119123013.9855,104692683331.5618,5931993250.53461,13803441156.892012,27208368243.1962,103778721110.78888,1.46753372743648
188,E-zmus_z1_125,1,0.997852820527072,61.6831545172402,2.5132022,0.75396067,-22.29,27.7890167665117,3.77004605799927,147.390583537407,50.8730656114982,136.467372742193,42.4112900789767,144.490625888054,15.8382729547713,12619162838.0521,5815282413.84889,55098823566.205,80711091186.57881,3451132684.03859,4369574237.369467,38832850287.3432,80592723378.1832,4.64687188691734
189,E-zmus_z1_127,2,0.895530603976106,51.190461428185,4.0246596,1.2073978,-22.26,80.3248939269096,3.65470780703144,142.688783716076,46.3504745851472,166.801353878332,12.3479625010167,181.035167806664,15.8802660643568,12275247848.8879,5656796243.72714,44084070173.4387,93404176413.68115,2296215903.04005,4160353687.857339,31419439301.0516,93311476404.08441,1.53368394251597
201,E-zmus_z1_146,2,0.862010422847141,59.2570222338319,3.146733,0.9440199,-23.33,18.0403319457908,3.49103339369817,221.784835610485,73.3063068489462,254.086218865278,17.6447145969532,238.371107142767,24.3140184718577,32887446455.0866,15155505278.8418,46000714399.4383,125812043852.99554,4706334765.39739,11585040677.238459,31048405739.8804,125277520772.7819,13.1449614354799
210,E-zmus_z1_166,2,0.975108115765321,42.6740196450803,2.4559138,0.73677415,-23.2,30.0562260241856,3.06500885021376,157.46676767572,68.2991005035506,191.689111318808,60.4947084363087,151.027859408687,16.2485886104101,29176318343.3431,13445307992.324,53502918669.4135,102393893414.22495,5978813581.30813,10398164904.173876,35732409840.6808,101864555048.10918,3.65607171891809
217,E-zmus_z1_176,1,0.95884628861074,70.7528738611824,3.3691907,1.0107572,-22.03,30.7696424377145,3.9910972208937,214.358511397229,84.0882913770751,182.117189452239,26.9101801558802,129.06909459553,14.6782261120235,9931856852.01049,4576892558.53018,91773292520.5101,83523850989.9772,4511060495.18972,3500367713.4667563,65610700770.9176,83450470999.66803,3.38839214715468
218,E-zmus_z1_181,2,0.805582945472656,30.377926203643,0.7213205,0.21639617,-21.26,49.9331517904566,3.47814570426665,150.923542421878,44.8984457575486,150.923542421878,37.3522686364547,154.730598205784,22.7304548817607,4886864121.89403,2252011116.0802,113154774154.266,92226570142.2566,2479360740.61156,1676121258.2437975,83214596551.6197,92211338010.74704,2.57412421044431
221,E-zmus_z1_189,2,0.840015761282798,39.2909646780095,3.1578732,0.947362,-21.95,47.0704462225015,4.46469437948129,212.472851585835,82.2920302234457,179.179053504939,26.289005634718,168.876332754613,21.6270696153704,9226361812.02774,4251779636.87914,69803223589.951,98421387342.5707,2661666728.65692,3164169508.0850415,50482373579.9203,98370511423.70074,2.86109393922551
222,E-zmus_z1_190,2,0.813877777546905,32.5801660751361,1.4539032,0.43617097,-21.4,46.034977712147,3.54899471011288,71.334600936757,28.8237295045354,115.765992805076,34.3057313532001,172.176706624376,28.5764567081003,5559426852.60215,2561947858.342,68746267587.0945,91058967529.8677,1690797075.78748,1862608858.820496,50417647000.9828,91039915728.45697,1.59290791690363
226,E-zmus_z1_195,2,0.821741846264265,44.5238893498015,2.1924925,0.65774775,-21.98,29.7619892611792,3.48055114073768,38.7532710398871,37.7429753661765,39.6015772221295,37.8782203203808,144.874515718827,86.0561033218675,9484839655.18351,4370893850.31498,48872688061.3657,100149554924.9775,1844242244.30022,3185071334.5354176,35359733697.0417,100098894460.75319,3.98500089987153
230,E-zmus_z1_207,2,0.820057706060306,40.1605893501991,4.284553,1.2853659,-23.18,22.3720021373708,2.81225056587902,91.9734010446791,32.5873531681756,83.0740813861349,7.97315444017022,119.490693055447,12.5206887185673,28643778433.9351,13199897895.8226,34268975673.001,128503421208.21776,2963172326.54748,9840161943.810953,23538198004.8523,128126111605.46552,5.23804130692909
231,E-zmus_z1_208,1,0.861795772915053,63.5141181236379,1.635211,0.49056333,-20.44,24.6203038645621,3.58961425943078,137.228465019622,48.3284112412924,128.187049702335,44.0110170542577,117.415373441086,22.0154267320511,2296309280.02967,1058207041.48833,137051212803.583,70501901659.17154,1831749307.52981,774879139.385024,101668769545.905,70497643222.15913,4.51524630866047
232,E-zmus_z1_21,2,0.839075627006777,25.1815296071909,3.1547704,0.9464311,-23.27,28.2194839528152,2.93697157092702,131.321170770485,46.987186044246,161.044844847495,14.3344160377148,157.084078658345,15.9650533277627,31119339259.7451,14340709336.2881,40909606948.0765,128201110636.72745,3876339118.22905,10849091366.371452,27844562278.0808,127741230560.12321,4.92218552508091
237,E-zmus_z1_219,1,0.976920281216369,61.9708232698227,3.3533795,1.0060139,-23.09,47.3386655085587,3.4682447101044,177.75419853009,54.7286268842898,202.513418253802,15.6551584591585,217.095246104719,14.9087466015585,26365149855.0193,12149838642.866,86607271550.0698,102459740010.94092,9027429305.59004,9631054080.870617,58330708454.4961,102006083742.10312,3.61359764818219
240,E-zmus_z1_24,1,0.823131685449468,73.7041699695031,3.9,1.1700001,-22.33,55.9751074515846,2.94932625842887,169.865711048964,54.6966625294449,127.321378478629,8.96160788278045,187.877095484084,11.5425782484061,13092728075.2733,6033515242.06143,59604079005.6278,109260510546.79134,2885845867.08324,4506884425.062558,42645288074.0936,109167518785.23497,2.2787542123003
241,E-zmus_z1_27,2,0.976141775640211,70.5163464811751,3.1889703,0.95669115,-21.34,29.5025354484259,3.20710209904839,57.5726970948952,25.798264593601,65.281567501732,10.6464146545456,86.3972687871191,9.51016947581713,5260538867.07597,2424211459.48201,61861982331.3642,68088679932.812584,1918632148.22845,1767712984.366249,45070188107.6209,68065729451.74317,1.5983989493684
244,E-zmus_z1_35,1,0.804665061344033,51.8440542277182,3.724687,1.1174061,-23,44.0176088459142,2.87238698746953,179.723441687156,57.2013030924228,240.008666547861,15.3915410992454,245.448056850937,10.6381607151308,24267787452.7229,11183312190.1949,38251780307.9897,127634753225.0692,2853281351.33762,8329796333.161007,26615412749.3625,127362650427.32257,5.56339319258233
247,E-zmus_z1_41,1,0.981888475889144,54.9539928340244,5.368617,1.6105852,-23.28,94.3985183010547,3.57563757083244,258.681308806597,32.1052369656031,247.813135457071,16.2544187668703,248.030215458413,15.6928741725205,31407289585.9138,14473405339.1308,32012429195.7914,100082166466.03514,3806709567.22085,10894649653.244736,21207307991.4064,99487419573.87488,2.0453075268009
249,E-zmus_z1_49,1,0.981514334591861,64.7709408409778,5.3665767,1.609973,-22.75,62.039827467678,2.2991316249368,155.513107095011,11.3629314660205,159.173120860032,9.52288871754831,148.605525438363,9.49227797041123,19276588701.8452,8883220599.92866,54103759253.3408,91673566097.07123,4525179761.38494,6770655301.52421,37277127437.5608,91423196989.2873,1.49127833939648
250,E-zmus_z1_50,2,0.908405848657256,52.8314349650454,3.6382983,1.0914896,-20.18,11.7207337137285,3.31038114704054,373.79701790046,97.5241703432618,356.358851105704,6.59250682599977,315.347558374171,6.51992278203407,1807300163.24272,832857218.084203,109718052165.986,60727044079.79832,1315539247.95181,597940666.6723037,81505648810.5523,60724100237.293816,2.28254462864372
253,E-zmus_z1_53,1,0.8321640402943,63.3265608092825,2.7186131,0.81558394,-21.14,15.4324033685761,3.60855372961139,98.2757804949621,34.9588304283799,130.078231107107,12.9746978523226,127.227034155021,11.3662535215756,4375522559.44983,2016369843.06444,80252127908.2496,84006274169.63527,1690608235.57988,1466598299.4063067,59068811783.9622,83993471111.10547,5.98597549748031
254,E-zmus_z1_55,2,0.885166989432031,49.3970281566321,3.5452166,1.063565,-22.18,50.1090883628912,3.54717721503472,115.895598769107,45.8157681355868,144.410422239029,15.7263681276346,161.350538038381,15.2333394897958,11403293429.7909,5254973930.77922,53595829616.2096,94442418606.1602,2594689205.51873,3895250501.8268495,38346722113.3014,94362055168.95662,2.74809671042491
256,E-zmus_z1_58,2,0.847670670999728,29.8411255012231,1.9201423,0.5760427,-21.94,29.6978481303125,3.38608523925614,63.0643113632852,24.2572430982994,139.448276619445,41.6365157253028,178.96964025753,15.7233865992275,9141772090.08257,4212798198.19473,41467141546.5307,93993255621.21379,1590841891.24477,3040982983.09803,29982180191.9443,93944049970.02922,5.61977644895556
259,E-zmus_z1_65,1,0.841963838808606,67.6321566300312,3.3721917,1.0116575,-22.09,22.6188860217721,3.47896050822762,213.418294879586,75.6186910194051,216.422332136738,23.0507533042672,195.194955352989,18.2264763066944,10496155065.9465,4836937818.40853,75516333570.4223,101661794960.00014,3189890103.84617,3635724958.730594,54380784561.3354,101596762047.38797,7.69395263902114
263,E-zmus_z1_70,2,0.858493851984656,41.5377008943605,2.591769,0.7775307,-23.21,43.4979391923858,4.22300295491175,186.328643746577,79.5982837816672,146.735632099169,17.879035226452,156.735279577975,19.8198962573648,29446237975.4397,13569694919.5575,38256237089.3554,121870648152.79541,3593706730.39745,10216044205.886433,26062052901.4721,121441703388.76933,3.08836272278802
273,E-zmus_z1_86,2,0.840728362224191,43.9629794940805,2.1174657,0.6352398,-21.48,50.8223133993095,3.4629143768636,114.356845704251,38.3082237687605,116.688800423986,33.5888294214976,118.033103706348,10.3644819160905,5984529200.58775,2757847557.87454,157527986164.849,92888259386.04475,4301795987.12946,2115424463.6679363,115207661787.759,92864168068.78554,1.59720454930266
279,E-zmus_z1_97,1,0.977331529192195,49.9928830495914,2.8215117,0.8464536,-22.47,92.1124427272684,4.49730218425431,221.487368162512,75.9453757703072,235.649420337411,34.0851912074872,224.746932852609,18.8683041460351,14894636359.8261,6863887723.42217,111779422707.884,90474628751.05438,7676709146.41284,5403764028.346175,78272716963.5122,90313109690.49327,1.80750568821144
283,E-zmvvd_z1_12,2,0.805490042421546,68.9255418787845,1.7065506,0.5119652,-20.91,11.9513634771096,4.17580260783832,34.1161439980985,13.7400046097971,36.410431358035,16.1110313755454,39.6548282692907,11.398314828081,3540218841.05054,1631437253.94034,73895435498.6121,83216745186.62587,1257130609.56985,1168463506.4143915,54615266833.8663,83208541463.54205,2.52038717125002
287,E-zmvvd_z1_141,2,0.971498026791335,66.6488010618507,5.024217,1.5072652,-22.96,21.2154745433946,3.33340121428632,166.70849571416,14.0491583721926,121.815348514855,14.090753277261,72.9686348494265,9.3126950959064,23389978150.0483,10778791774.2158,36534402826.198,95401937022.1827,3465012288.78138,8081731433.482855,24864203411.5915,95059009066.06154,2.42148719770187
292,E-zmvvd_z1_160,2,0.966156081585526,46.3740797962728,5.1014123,1.5304238,-23.73,39.3137761697538,3.6140253932739,239.260560510605,22.3775063545449,188.179399920243,20.3401041559776,172.661136421766,28.1174255169707,47536806623.5279,21906362499.3216,43035136141.9732,115750502376.26025,6661562878.59457,17013851834.75532,27348551325.8486,114493264632.03687,4.25542942701878
298,E-zmvvd_z1_19,1,0.982660149858909,65.8150174807341,4.895118,1.4685354,-22.54,39.7837781345053,3.3520680427456,120.213305041273,11.6679472883396,117.683817942427,16.5964977156997,116.994169066073,15.9296420600839,15886584826.9011,7321006832.67332,41255642542.737,85933648741.64372,2997085485.51389,5451183256.632453,28765832373.852,85760577115.33206,2.92242228998258
301,E-zmvvd_z1_24,2,0.964414399292989,50.9512948367694,2.9115334,0.87346005,-22.33,46.2167965368476,3.54136022851283,146.833425676528,52.5825098489291,149.133065382412,11.7714651086816,196.293155896241,17.3133286737652,13092728075.2733,6033515242.06143,54075559112.6434,85782399714.5399,3304718865.82536,4524244253.715634,38173564095.3519,85663010189.45001,3.7859815919371
311,E-zmvvd_z1_57,2,0.863711502329882,36.1721066447943,3.434882,1.0304646,-21.76,24.1479355432025,3.95270178882816,153.45904259204,130.823678815344,83.1854106628505,50.2747594713833,28.57626680242,21.5707249328888,7745157732.42143,3569197111.71494,57846416015.6717,89601037115.01016,2007420094.37219,2612531645.702658,41984207459.6237,89562941725.27849,1.093207013307
312,E-zmvvd_z1_58,1,0.834728628833586,53.5997001259874,1.2108119,0.36324358,-21.78,45.5545349501576,3.57469650550667,124.707371677932,44.4731389868427,121.846923258112,36.5418066114937,117.039238787482,21.9874000159725,7889154293.72312,3635554974.06595,100197986234.849,97696077132.99362,3355103514.57903,2745214981.90325,72814197534.0373,97657499875.22194,1.66239942984318
314,E-zmvvd_z1_64,2,0.904534470760044,44.9421865051359,3.6227987,1.0868396,-22.41,43.4911410211725,2.81834078174174,185.307917038431,69.1826596869312,191.6187859755,19.5906733102548,164.603134437269,17.1433840305171,14093865349.6545,6494868824.72558,61889601226.1282,97054694245.16628,3631691483.2437,4902846451.691799,43802939656.3042,96930778247.64354,3.37954946242919
317,E-zmvvd_z1_73,1,0.890048200568837,62.6021434902172,4.6029487,1.3808848,-23.85,138.080691929401,4.49207522042219,303.864997469258,110.978794778194,290.9624088848,11.6756940734954,219.461365129504,23.7785981232807,53092153360.3389,24466430119.9718,51422840322.1607,136013033390.41911,7682366918.60386,19189284457.304676,32887573987.6367,134652577450.56316,1.11297319198288
318,E-zmvvd_z1_77,2,0.837461575294847,25.1491808073804,3.148276,0.94448286,-23.06,88.613778429427,3.66808328329281,196.556201982899,67.7429186583039,193.947294461042,14.0273174420303,194.894746080443,16.4801101922641,25646610095.84,11818714329.8802,46713432891.3187,123613829134.21823,3833740439.11677,8943980970.706327,32240370264.8135,123289837203.31268,1.44172505427253
319,E-zmvvd_z1_83,1,0.832684902443552,64.2409274850254,1.4549465,0.43648398,-20.23,30.8627599765995,3.7420528686254,75.4554975011862,27.6224652609195,71.3146783150341,23.1520158097787,66.0339407673905,15.6588856290653,1892474267.29787,872107957.280124,162993219269.12,71452858068.39133,1776036359.94987,638668245.2808825,121215926999.376,71450003701.98833,1.67847271816682
322,S-CFHIZELS-SM14-101338,2,0.811225582205604,39.5405833681764,1.0614821,0.4893191,-22.86,32.6917390969025,3.06661747694795,212.033476558804,72.6464457428294,204.162435600132,62.7476401330959,193.808285417813,44.2914164978199,21331943555.4679,9830388735.23866,67496126928.661,126447577725.07974,4625992404.43267,7535827703.361608,47270777837.7657,126222823662.62186,5.70972948865055
323,S-CFHIZELS-SM14-104965,1,0.807194468895849,49.8116138436711,2.9492457,1.3595351,-22.3,49.5647384928941,2.66613991379053,219.266555793671,82.035288184569,226.671505843389,29.2471666326169,211.517046705432,19.6971824915432,12735906827.1507,5869081487.16622,51736534454.8974,110681006368.49954,2385938388.99479,4338489621.7497835,37105711327.7463,110595943318.667,3.59629810808785
324,S-CFHIZELS-SM14-107086,1,0.806315500287334,63.5079138636994,3.730886,1.7198534,-22.94,35.8104668776841,2.42286585814772,105.584321792348,35.0180158600261,161.019435498381,5.75712788338071,182.08596570356,7.97638672384089,22963093588.1878,10582070777.9667,29541940694.8248,123678507250.16898,2121053026.48638,7747170145.824325,20617208773.1868,123435629015.13383,4.05944632857291
325,S-CFHIZELS-SM14-108670,2,0.809225091661695,55.8228095572869,1.0589384,0.48814648,-22.86,70.8744977234407,4.51226782627487,245.421296233688,92.6060362486444,244.077708599472,81.0047025321737,241.016518096114,58.4289463294149,21331943555.4679,9830388735.23866,40353993475.4929,123110494519.87201,2756367628.33181,7310335689.150505,28268891614.4069,122893257964.13475,3.22563197695816
327,S-CFHIZELS-SM14-111852,2,0.808622376332592,38.9911904457831,1.0580678,0.48774517,-22.2,28.6708330857597,2.83233559643874,134.417108518295,51.883109498901,136.827589522601,44.5908291394819,142.328201458198,29.0540423563327,11615301383.4225,5352673448.5818,53713395747.6536,108214165788.66724,2314478835.58598,3951174578.4323587,38645802189.5245,108142008011.63213,4.33253356018419
328,S-CFHIZELS-SM14-117442,2,0.807887161312526,25.8286905120437,2.0932713,0.9649504,-22.08,26.4586009746342,2.330602869249,163.017542411863,51.2363282851873,169.705315453172,59.8427862603575,179.240372482266,29.2837200242025,10399923544.0735,4792591494.96475,50998040809.7864,105180181435.2695,2016279185.47934,3511079126.5243034,36828392198.7271,105121562441.41112,6.59752672938682
330,S-CFHIZELS-SM14-118544,1,0.804719591418289,61.8612943513023,2.9401493,1.3553419,-21.76,65.8247593634604,2.88328506713768,134.791039886993,43.1580403376002,140.334691644849,9.35849195599833,134.249318327628,10.0998716764034,7745157732.42143,3569197111.71494,76368406414.1082,100872492385.2746,2391654182.85954,2645203224.9607363,55621618218.984,100837803525.84015,1.17064484910486
331,S-CFHIZELS-SM14-138499,1,0.821986949852993,59.5380868080326,2.1297607,0.98177123,-22.12,87.8441452611008,5.49275718441617,208.515413203729,84.0642299130559,201.304508056675,65.1284765562994,180.00345174987,20.5823746289167,10790225303.8925,4972454057.09332,110980372226.826,108375910050.77213,4626002919.18593,3822483012.2028756,79965691208.7519,108308478444.46191,1.50297385359641
332,S-CFHIZELS-SM14-139428,2,0.807658416279076,72.9889446065206,3.7371938,1.7227613,-21.02,22.2118974917321,4.68682625695619,254.550697572064,81.1329805087384,253.952982512171,27.8862787971905,237.042141173533,22.6030723244317,3917692578.25506,1805388284.91017,113037906158.272,87105737412.8606,2090509772.48238,1331568895.24431,83419095026.9092,87095559097.55353,10.4981575791442
333,S-CFHIZELS-SM14-145965,1,0.819211656706864,60.8642082661409,4.7825093,2.869506,-22.12,66.8306561644733,2.91158214841169,189.017093686348,15.0390732539823,204.804221449515,10.3037861385165,200.518934301476,10.7197301008644,10790225303.8925,4972454057.09332,69311677343.1968,105928091835.69032,2875227908.19842,3717422770.4837165,49952217620.2995,105862842432.53595,2.89730807854812
334,S-CFHIZELS-SM14-148830,2,0.813597441853921,41.8173038031045,2.1080093,0.9717443,-22.25,63.0089022267509,2.36452847227022,128.984486999565,40.522288714704,148.155383873,9.74182302661233,155.653973170686,13.7316433021044,12162705134.4898,5604933241.70037,70033515066.5582,110178235386.90192,3153079897.6447,4211596143.548373,50286041480.3861,110097711197.35057,2.16413996941487
336,S-CFHIZELS-SM14-159913,1,0.817644399892333,53,2.9499652,1.7699791,-20.58,28.6619953758179,2.74681149642026,124.338567874893,55.2816112676504,128.009162584917,20.4005873363017,135.58166208748,12.6072779764568,2612342630.12998,1203844530.01382,146718711453.067,78805746168.14873,2007850958.02447,887142233.15664,108805158266.949,78800752583.8227,4.4540987175654
337,S-CFHIZELS-SM14-164290,2,0.816475811844697,36.7646393909787,2.7790155,0,-22.02,44.9386269562085,3.67564471961425,110.782852328464,39.9002999142988,98.3147372886329,11.2704281102007,59.822403714999,9.05873117982606,9840798965.20449,4534930398.71175,65342077506.7296,103735379654.19952,2513428545.51867,3365422521.031095,47239585685.121,103680774125.46576,1.03699207466689
338,S-CFHIZELS-SM14-172833,2,0.804706513344823,54.7054100973362,5.205981,3.1235888,-21.34,54.0914465647094,4.40283250859798,335.2331765653,21.635698122437,264.76505101369,27.3033845134237,265.427853848867,29.5823873675677,5260538867.07597,2424211459.48201,55623734859.0781,90181012448.24583,1289050290.6669,1735641042.582087,40853146292.0385,90164308661.2545,4.88300862288872
341,S-CFHIZELS-SM14-195038,2,0.809220421806615,64.106874943933,1.0588971,0.48812744,-21.24,22.9096561358021,2.92171611408066,163.230856109504,64.7645074249555,162.656501438167,54.6917618887062,161.347674320747,34.2017866281642,4797666775.39756,2210906348.10947,58719297423.0303,87777938682.64215,1276464075.94396,1582413876.862306,43190100260.9671,87763674066.75725,6.90298859048331
345,S-CFHIZELS-SM14-216212,2,0.811673943596318,53,2.7626717,0,-20.34,21.1074205562088,3.60740285762115,37.421337119408,15.6373698619424,71.652439616011,10.7755974955592,76.774896027786,12.0025206360197,2094258215.21572,965095951.712313,125658432484.623,74803591686.4,1428698713.24927,697993190.8690507,93405814865.6942,74800335124.19012,1.51882879332755
346,S-CFHIZELS-SM14-228100,1,0.816892455225771,53,2.1381419,1.2828851,-20.26,39.3631742662518,3.20002882235171,94.2861806162,34.0014919264288,101.682001483385,10.4840202668065,112.366125990101,10.1719335192062,1945495621.74572,896541761.173143,167211019620.647,74047568564.75452,1810400079.91406,657602790.0679603,124361368075.739,74044648482.67238,1.00333816558598
358,S-CFHIZELS-SM14-85179,2,0.81539152484322,34.4712303109934,1.0667754,0.49175918,-22.43,46.4069722615907,1.93278466863691,220.884904710372,62.7007717653784,218.395023185237,52.6510848398026,215.111676944167,32.4514170121509,14355895926.1661,6615620242.47286,71895791475.5993,114494398300.11884,3683942602.94518,5012486620.070248,51287104415.5294,114384624054.06537,3.53425350030868
359,S-CFHIZELS-SM14-85797,2,0.818791327215221,42.9276450366583,1.0714458,0.4939121,-23.4,39.5559982287646,1.93585666099684,196.187825026209,75.8216540964368,192.941280145307,62.8277458893944,188.666659743778,39.7681296718013,35077613000.341,16164798617.6687,44085883964.6478,137320569406.98405,4406549768.23558,12323850369.15705,29834085861.9641,136766448715.81975,4.75932371075187
